CODRE;NOME;SIGLAS;FONTE DE RECURSO; VALOR ; TOTALIZADOR ;VALOR F. TOTAL;COD
1000.00.0.0.00.00;RECEITAS CORRENTES;;; R$ -   ; R$ -   ;R$ 156.774.916,87;1000.00.0.0
1100.00.0.0.00.00;IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA;;; R$ -   ;R$ 22.333.730,11;0;1100.00.0.0
1110.00.0.0.00.00;IMPOSTOS;;; R$ -   ;R$ 21.329.830,00;0;1110.00.0.0
1112.00.0.0.00.00;IMPOSTOS SOBRE O PATRIMÔNIO;IPTU;01 - RECURSO PRÓPRIO;R$ 6.227.928,18; R$ -   ;0;1112.00.0.0
1112.50.0.0.00.00;IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA;ITR;01 - RECURSO PRÓPRIO;R$ 5.747.067,50; R$ -   ;0;1112.50.0.0
1112.53.0.0.00.00;"IMPOSTOS SOBRE TRANSMISSÃO ""INTER VIVOS"" DE BENS IMÓVEIS E D";ITBI;01 - RECURSO PRÓPRIO;R$ 480.860,68; R$ -   ;0;1112.53.0.0
1113.03.1.1.00.00;IMPOSTO SOBRE A RENDA – RETIDO NA FONTE – TRABALHO – PRINCIP;IRRF;01 - RECURSO PRÓPRIO;R$ 4.314.075,12; R$ -   ;0;1113.03.1.1
1113.03.4.0.00.00;IMPOSTO SOBRE A RENDA – RETIDO NA FONTE – OUTROS RENDIMENTOS;IRPJ;01 - RECURSO PRÓPRIO;R$ 390.000,00; R$ -   ;0;1113.03.4.0
1114.51.1.0.00.00;IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA – ISSQN;ISS;01 - RECURSO PRÓPRIO;R$ 9.529.558,08; R$ -   ;0;1114.51.1.0
1119.99.0.0.00.00;OUTROS IMPOSTOS;OUTROS;01 - RECURSO PRÓPRIO;R$ 868.268,62; R$ -   ;0;1119.99.0.0
1120.00.0.0.00.00;TAXAS;;; R$ -   ;R$ 1.003.900,11;0;1120.00.0.0
