APAGAR;SALDO;DOTACATUAL;FUNCAO;SUBFUNCAO;PROGRAMA;PROJATIV;ACAO;DOTAC;ALTDO;EMPMES;EMPATUAL;LIQMES;LIQATUAL;PAGOMES;PAGOATUAL;PODER;PODERNOME;ORGAO;ORGAONOME;UNIDADE;CATEGORIA;CATEGORIANOME;GRUPO;GRUPONOME;MODALIDADE;MODALIDADENOME;ELEMENTO;ELEMENTONOME;CATECNOME;FUNCAONOME;PROGRAMANOME;SUBFUNCAONOME;PROJATIVNOME;ACAONOME;CATEC;UNIDADENOME;ORGAO1;UNIDADE1;DESDOBRO;FICHA;EMPRESA;EMPRESANOME;FONINDUSO;FONINDUSONOME;FONGRUPO;FONGRUPONOME;FONCODIGO;FONCODIGONOME;VINGRUPO;VINGRUPONOME;VINCODIGO;VINCODIGONOME;PROCESSADO;NPROCESSADO;DESDOBRONOME;ALTERACAOMAISMES;ALTERACAOMENOSMES;SALDOALTERACAOMES;FONRO;FONRONOME;CFPRO;CFPRONOME;PERC_EMPATUAL_DOTAC;FONTE_STN;FONTE_STNNOME;ESFERANOME;ESFERA;CLASSIFICACAO_SCPINOME;CLASSIFICACAO_MSCNOME;CLASSIFICACAO_SCPI;CLASSIFICACAO_MSC;CATEC_STN;CATEC_STNNOME;VINCULO;VINCULONOME;RESERVA;RESERVA_EMP;RESERVA_SALDO;CATECFICHA;CATECFICHANOME;COMPFR_STN;
0;30000;30000;02;061;1009;1003;0000;30000;0;0;0;0;0;0;0;02;PODER EXECUTIVO;0201;GABINETE DO PREFEITO;020113;3;DESPESAS CORRENTES;3;OUTRAS DESPESAS CORRENTES;90;APLICAÇÕES DIRETAS;36;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;Judiciária;MAIS ADMINISTRAÇÃO E FINANÇAS;Ação Judiciária;EFICIENCIA JURIDICA;EFICIENCIA JURIDICA;3.3.90.36.00;DEPARTAMENTO MUNICIPAL DE ASSUNTOS JURÍDICOS;01;13;00;320;1;PREFEITURA MUNICIPAL DE PRADOPOLIS;0;Recursos nao Destinados a Contrapartida;01;TESOURO;00  ;Recursos Ordinarios;110;GERAL;000;GERAL;0;0;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;;;;;;02.061.1009.1003.0000;EFICIENCIA JURIDICA;36,97;1.500;Recursos não Vinculados de Impostos (Exerc.Corrente);FISCAL;10;NÃO INFORMADO;NÃO INFORMADO;;;3.3.90.36.00;;110.000;GERAL;0;0;0;3.3.90.36.00;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;0;
6035,16;-11090,2;0;02;061;1009;1003;0000;0;0;11090,2;11090,2;7669;7669;5055,04;5055,04;02;PODER EXECUTIVO;0201;GABINETE DO PREFEITO;020113;3;DESPESAS CORRENTES;3;OUTRAS DESPESAS CORRENTES;90;APLICAÇÕES DIRETAS;36;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;ESTAGIÁRIOS;Judiciária;MAIS ADMINISTRAÇÃO E FINANÇAS;Ação Judiciária;EFICIENCIA JURIDICA;EFICIENCIA JURIDICA;3.3.90.36.07;DEPARTAMENTO MUNICIPAL DE ASSUNTOS JURÍDICOS;01;13;07;320;1;PREFEITURA MUNICIPAL DE PRADOPOLIS;0;Recursos nao Destinados a Contrapartida;01;TESOURO;00  ;Recursos Ordinarios;110;GERAL;000;GERAL;2613,96;3421,2;ESTAGIÁRIOS;;;;;;02.061.1009.1003.0000;EFICIENCIA JURIDICA;36,97;1.500;Recursos não Vinculados de Impostos (Exerc.Corrente);FISCAL;10;NÃO INFORMADO;NÃO INFORMADO;;;3.3.90.36.07;;110.000;GERAL;0;0;0;3.3.90.36.00;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;0;
0;396001;396001;04;122;1009;1002;0000;1;396000;0;0;0;0;0;0;02;PODER EXECUTIVO;0201;GABINETE DO PREFEITO;020101;3;DESPESAS CORRENTES;3;OUTRAS DESPESAS CORRENTES;90;APLICAÇÕES DIRETAS;36;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;Administração;MAIS ADMINISTRAÇÃO E FINANÇAS;Administração Geral;ADMINISTRAÇÃO ORGANIZADA, EFICIENTE E TECNOLOGICA;ADMINISTRAÇÃO ORGANIZADA, EFICIENTE E TECNOLOGICA;3.3.90.36.00;DEPARTAMENTO DE ADMINISTRAÇÃO GERAL;01;01;00;23;1;PREFEITURA MUNICIPAL DE PRADOPOLIS;0;Recursos nao Destinados a Contrapartida;01;TESOURO;00  ;Recursos Ordinarios;110;GERAL;000;GERAL;0;0;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;396000;0;396000;;;04.122.1009.1002.0000;ADMINISTRAÇÃO ORGANIZADA, EFICIENTE E TECNOLOGICA;59,64;1.500;Recursos não Vinculados de Impostos (Exerc.Corrente);FISCAL;10;NÃO INFORMADO;NÃO INFORMADO;;;3.3.90.36.00;;110.000;GERAL;0;0;0;3.3.90.36.00;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;0;
1621;-4863;0;04;122;1009;1002;0000;0;0;4863;4863;3242;3242;3242;3242;02;PODER EXECUTIVO;0201;GABINETE DO PREFEITO;020101;3;DESPESAS CORRENTES;3;OUTRAS DESPESAS CORRENTES;90;APLICAÇÕES DIRETAS;36;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;DIÁRIAS A COLABORADORES EVENTUAIS NO PAÍS;Administração;MAIS ADMINISTRAÇÃO E FINANÇAS;Administração Geral;ADMINISTRAÇÃO ORGANIZADA, EFICIENTE E TECNOLOGICA;ADMINISTRAÇÃO ORGANIZADA, EFICIENTE E TECNOLOGICA;3.3.90.36.02;DEPARTAMENTO DE ADMINISTRAÇÃO GERAL;01;01;02;23;1;PREFEITURA MUNICIPAL DE PRADOPOLIS;0;Recursos nao Destinados a Contrapartida;01;TESOURO;00  ;Recursos Ordinarios;110;GERAL;000;GERAL;0;1621;DIÁRIAS A COLABORADORES EVENTUAIS NO PAÍS;;;;;;04.122.1009.1002.0000;ADMINISTRAÇÃO ORGANIZADA, EFICIENTE E TECNOLOGICA;59,64;1.500;Recursos não Vinculados de Impostos (Exerc.Corrente);FISCAL;10;NÃO INFORMADO;NÃO INFORMADO;;;3.3.90.36.99;;110.000;GERAL;0;0;0;3.3.90.36.00;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;0;
75026,06;-119492,39;0;04;122;1009;1002;0000;0;0;119492,39;119492,39;55373,68;55373,68;44466,33;44466,33;02;PODER EXECUTIVO;0201;GABINETE DO PREFEITO;020101;3;DESPESAS CORRENTES;3;OUTRAS DESPESAS CORRENTES;90;APLICAÇÕES DIRETAS;36;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;ESTAGIÁRIOS;Administração;MAIS ADMINISTRAÇÃO E FINANÇAS;Administração Geral;ADMINISTRAÇÃO ORGANIZADA, EFICIENTE E TECNOLOGICA;ADMINISTRAÇÃO ORGANIZADA, EFICIENTE E TECNOLOGICA;3.3.90.36.07;DEPARTAMENTO DE ADMINISTRAÇÃO GERAL;01;01;07;23;1;PREFEITURA MUNICIPAL DE PRADOPOLIS;0;Recursos nao Destinados a Contrapartida;01;TESOURO;00  ;Recursos Ordinarios;110;GERAL;000;GERAL;10907,35;64118,71;ESTAGIÁRIOS;;;;;;04.122.1009.1002.0000;ADMINISTRAÇÃO ORGANIZADA, EFICIENTE E TECNOLOGICA;59,64;1.500;Recursos não Vinculados de Impostos (Exerc.Corrente);FISCAL;10;NÃO INFORMADO;NÃO INFORMADO;;;3.3.90.36.07;;110.000;GERAL;0;0;0;3.3.90.36.00;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;0;
69116,67;-96000;0;04;122;1009;1002;0000;0;0;96000;96000;32633,33;32633,33;26883,33;26883,33;02;PODER EXECUTIVO;0201;GABINETE DO PREFEITO;020101;3;DESPESAS CORRENTES;3;OUTRAS DESPESAS CORRENTES;90;APLICAÇÕES DIRETAS;36;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;PRÓ-LABORE A CONSULTORES EVENTUAIS;Administração;MAIS ADMINISTRAÇÃO E FINANÇAS;Administração Geral;ADMINISTRAÇÃO ORGANIZADA, EFICIENTE E TECNOLOGICA;ADMINISTRAÇÃO ORGANIZADA, EFICIENTE E TECNOLOGICA;3.3.90.36.11;DEPARTAMENTO DE ADMINISTRAÇÃO GERAL;01;01;11;23;1;PREFEITURA MUNICIPAL DE PRADOPOLIS;0;Recursos nao Destinados a Contrapartida;01;TESOURO;00  ;Recursos Ordinarios;100;GERAL TOTAL;016;CONVENIO MULTA DE TRANSITO;5750;63366,67;PRÓ-LABORE A CONSULTORES EVENTUAIS;;;;;;04.122.1009.1002.0000;ADMINISTRAÇÃO ORGANIZADA, EFICIENTE E TECNOLOGICA;59,64;1.500;Recursos não Vinculados de Impostos (Exerc.Corrente);FISCAL;10;NÃO INFORMADO;NÃO INFORMADO;;;3.3.90.36.99;;100.016;CONVENIO MULTA DE TRANSITO;0;0;0;3.3.90.36.00;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;0;
11083,33;-13000;0;04;122;1009;1002;0000;0;0;13000;13000;3416,67;3416,67;1916,67;1916,67;02;PODER EXECUTIVO;0201;GABINETE DO PREFEITO;020101;3;DESPESAS CORRENTES;3;OUTRAS DESPESAS CORRENTES;90;APLICAÇÕES DIRETAS;36;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;OUTROS SERVIÇOS DE PESSOA FÍSICA;Administração;MAIS ADMINISTRAÇÃO E FINANÇAS;Administração Geral;ADMINISTRAÇÃO ORGANIZADA, EFICIENTE E TECNOLOGICA;ADMINISTRAÇÃO ORGANIZADA, EFICIENTE E TECNOLOGICA;3.3.90.36.99;DEPARTAMENTO DE ADMINISTRAÇÃO GERAL;01;01;99;23;1;PREFEITURA MUNICIPAL DE PRADOPOLIS;0;Recursos nao Destinados a Contrapartida;01;TESOURO;00  ;Recursos Ordinarios;100;GERAL TOTAL;016;CONVENIO MULTA DE TRANSITO;1500;9583,33;OUTROS SERVIÇOS DE PESSOA FÍSICA;;;;;;04.122.1009.1002.0000;ADMINISTRAÇÃO ORGANIZADA, EFICIENTE E TECNOLOGICA;59,64;1.500;Recursos não Vinculados de Impostos (Exerc.Corrente);FISCAL;10;NÃO INFORMADO;NÃO INFORMADO;;;3.3.90.36.99;;100.016;CONVENIO MULTA DE TRANSITO;0;0;0;3.3.90.36.00;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;0;
1621;-2835,8;0;04;122;1009;1002;0000;0;0;2835,8;2835,8;2835,8;2835,8;1214,8;1214,8;02;PODER EXECUTIVO;0201;GABINETE DO PREFEITO;020101;3;DESPESAS CORRENTES;3;OUTRAS DESPESAS CORRENTES;90;APLICAÇÕES DIRETAS;36;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;OUTROS SERVIÇOS DE PESSOA FÍSICA;Administração;MAIS ADMINISTRAÇÃO E FINANÇAS;Administração Geral;ADMINISTRAÇÃO ORGANIZADA, EFICIENTE E TECNOLOGICA;ADMINISTRAÇÃO ORGANIZADA, EFICIENTE E TECNOLOGICA;3.3.90.36.99;DEPARTAMENTO DE ADMINISTRAÇÃO GERAL;01;01;99;23;1;PREFEITURA MUNICIPAL DE PRADOPOLIS;0;Recursos nao Destinados a Contrapartida;01;TESOURO;00  ;Recursos Ordinarios;110;GERAL;000;GERAL;1621;0;OUTROS SERVIÇOS DE PESSOA FÍSICA;;;;;;04.122.1009.1002.0000;ADMINISTRAÇÃO ORGANIZADA, EFICIENTE E TECNOLOGICA;59,64;1.500;Recursos não Vinculados de Impostos (Exerc.Corrente);FISCAL;10;NÃO INFORMADO;NÃO INFORMADO;;;3.3.90.36.99;;110.000;GERAL;0;0;0;3.3.90.36.00;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;0;
0;1;1;04;126;1009;1015;0000;1;0;0;0;0;0;0;0;02;PODER EXECUTIVO;0201;GABINETE DO PREFEITO;020114;3;DESPESAS CORRENTES;3;OUTRAS DESPESAS CORRENTES;90;APLICAÇÕES DIRETAS;36;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;Administração;MAIS ADMINISTRAÇÃO E FINANÇAS;Tecnologia da Informação;TECNOLOGIA DA INFORMAÇÃO EFICIENTE E TRANSPARENTE;TECNOLOGIA DA INFORMAÇÃO EFICIENTE E TRANSPARENTE;3.3.90.36.00;DEPARTAMENTO MUNICIPAL DE TECNOLOGIA DA INFORMAÇÃO;01;14;00;324;1;PREFEITURA MUNICIPAL DE PRADOPOLIS;0;Recursos nao Destinados a Contrapartida;01;TESOURO;00  ;Recursos Ordinarios;110;GERAL;000;GERAL;0;0;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;;;;;;04.126.1009.1015.0000;TECNOLOGIA DA INFORMAÇÃO EFICIENTE E TRANSPARENTE;0;1.500;Recursos não Vinculados de Impostos (Exerc.Corrente);FISCAL;10;NÃO INFORMADO;NÃO INFORMADO;;;3.3.90.36.00;;110.000;GERAL;0;0;0;3.3.90.36.00;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;0;
0;50001;50001;08;243;1003;1043;0000;1;50000;0;0;0;0;0;0;02;PODER EXECUTIVO;0201;GABINETE DO PREFEITO;020106;3;DESPESAS CORRENTES;3;OUTRAS DESPESAS CORRENTES;90;APLICAÇÕES DIRETAS;36;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;Assistência Social;MAIS PROMOÇÃO E ASSISTENCIA SOCIAL;Assistência à Criança e ao Adolescente;Atender as demandas encaminhadas pelo Ministério Público, Co;Atender as demandas encaminhadas pelo Ministério Público, Co;3.3.90.36.00;DEPARTAMENTO MUNICIPAL DE ASSISTÊNCIA E PROMOÇÃO SOCIAL;01;06;00;234;1;PREFEITURA MUNICIPAL DE PRADOPOLIS;0;Recursos nao Destinados a Contrapartida;01;TESOURO;00  ;Recursos Ordinarios;510;ASSISTÊNCIA SOCIAL-GERAL;000;ASSISTÊNCIA SOCIAL-GERAL;0;0;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;50000;0;50000;;;08.243.1003.1043.0000;Atender as demandas encaminhadas pelo Ministério Público, Conselho Tutelar, Rede Protetiva, entre outros.;83,21;1.500;Recursos não Vinculados de Impostos (Exerc.Corrente);FISCAL;10;NÃO INFORMADO;NÃO INFORMADO;;;3.3.90.36.00;;510.000;ASSISTÊNCIA SOCIAL-GERAL;0;0;0;3.3.90.36.00;OUTROS SERVIÇOS DE TERCEIROS - PESSOA FÍSICA;0;
