ano,mes,categoria,valor
2025,1,Impostos Municipais (IPTU/ISS/ITBI),1358000.0
2025,1,Transferências Estaduais (ICMS/IPVA),4547200.0
2025,1,Transferências Federais (FPM/SUS/FNDE),4000000.0
2025,1,Outras Receitas Correntes,545400.0
2025,2,Impostos Municipais (IPTU/ISS/ITBI),1358000.0
2025,2,Transferências Estaduais (ICMS/IPVA),4547200.0
2025,2,Transferências Federais (FPM/SUS/FNDE),4000000.0
2025,2,Outras Receitas Correntes,545400.0
2025,3,Impostos Municipais (IPTU/ISS/ITBI),2444400.0
2025,3,Transferências Estaduais (ICMS/IPVA),3136000.0
2025,3,Transferências Federais (FPM/SUS/FNDE),4000000.0
2025,3,Outras Receitas Correntes,606000.0
2025,4,Impostos Municipais (IPTU/ISS/ITBI),2444400.0
2025,4,Transferências Estaduais (ICMS/IPVA),3136000.0
2025,4,Transferências Federais (FPM/SUS/FNDE),4000000.0
2025,4,Outras Receitas Correntes,606000.0
2025,5,Impostos Municipais (IPTU/ISS/ITBI),1358000.0
2025,5,Transferências Estaduais (ICMS/IPVA),3136000.0
2025,5,Transferências Federais (FPM/SUS/FNDE),4000000.0
2025,5,Outras Receitas Correntes,606000.0
2025,6,Impostos Municipais (IPTU/ISS/ITBI),1358000.0
2025,6,Transferências Estaduais (ICMS/IPVA),3136000.0
2025,6,Transferências Federais (FPM/SUS/FNDE),4000000.0
2025,6,Outras Receitas Correntes,606000.0
2025,7,Impostos Municipais (IPTU/ISS/ITBI),1358000.0
2025,7,Transferências Estaduais (ICMS/IPVA),3136000.0
2025,7,Transferências Federais (FPM/SUS/FNDE),4000000.0
2025,7,Outras Receitas Correntes,606000.0
2025,8,Impostos Municipais (IPTU/ISS/ITBI),1358000.0
2025,8,Transferências Estaduais (ICMS/IPVA),3136000.0
2025,8,Transferências Federais (FPM/SUS/FNDE),4000000.0
2025,8,Outras Receitas Correntes,606000.0
2025,9,Impostos Municipais (IPTU/ISS/ITBI),1358000.0
2025,9,Transferências Estaduais (ICMS/IPVA),3136000.0
2025,9,Transferências Federais (FPM/SUS/FNDE),4000000.0
2025,9,Outras Receitas Correntes,606000.0
2025,10,Impostos Municipais (IPTU/ISS/ITBI),1358000.0
2025,10,Transferências Estaduais (ICMS/IPVA),3136000.0
2025,10,Transferências Federais (FPM/SUS/FNDE),4000000.0
2025,10,Outras Receitas Correntes,606000.0
2025,11,Impostos Municipais (IPTU/ISS/ITBI),1358000.0
2025,11,Transferências Estaduais (ICMS/IPVA),3136000.0
2025,11,Transferências Federais (FPM/SUS/FNDE),4800000.0
2025,11,Outras Receitas Correntes,606000.0
2025,12,Impostos Municipais (IPTU/ISS/ITBI),1358000.0
2025,12,Transferências Estaduais (ICMS/IPVA),3136000.0
2025,12,Transferências Federais (FPM/SUS/FNDE),4800000.0
2025,12,Outras Receitas Correntes,606000.0
2026,1,Impostos Municipais (IPTU/ISS/ITBI),1439480.0
2026,1,Transferências Estaduais (ICMS/IPVA),4820032.0
2026,1,Transferências Federais (FPM/SUS/FNDE),4240000.0
2026,1,Outras Receitas Correntes,578124.0
2026,2,Impostos Municipais (IPTU/ISS/ITBI),1439480.0
2026,2,Transferências Estaduais (ICMS/IPVA),4820032.0
2026,2,Transferências Federais (FPM/SUS/FNDE),4240000.0
2026,2,Outras Receitas Correntes,578124.0
2026,3,Impostos Municipais (IPTU/ISS/ITBI),2591064.0
2026,3,Transferências Estaduais (ICMS/IPVA),3324160.0
2026,3,Transferências Federais (FPM/SUS/FNDE),4240000.0
2026,3,Outras Receitas Correntes,642360.0
2026,4,Impostos Municipais (IPTU/ISS/ITBI),2591064.0
2026,4,Transferências Estaduais (ICMS/IPVA),3324160.0
2026,4,Transferências Federais (FPM/SUS/FNDE),4240000.0
2026,4,Outras Receitas Correntes,642360.0
2026,5,Impostos Municipais (IPTU/ISS/ITBI),1439480.0
2026,5,Transferências Estaduais (ICMS/IPVA),3324160.0
2026,5,Transferências Federais (FPM/SUS/FNDE),4240000.0
2026,5,Outras Receitas Correntes,642360.0
2026,6,Impostos Municipais (IPTU/ISS/ITBI),1439480.0
2026,6,Transferências Estaduais (ICMS/IPVA),3324160.0
2026,6,Transferências Federais (FPM/SUS/FNDE),4240000.0
2026,6,Outras Receitas Correntes,642360.0
2026,7,Impostos Municipais (IPTU/ISS/ITBI),1439480.0
2026,7,Transferências Estaduais (ICMS/IPVA),3324160.0
2026,7,Transferências Federais (FPM/SUS/FNDE),4240000.0
2026,7,Outras Receitas Correntes,642360.0
2026,8,Impostos Municipais (IPTU/ISS/ITBI),1439480.0
2026,8,Transferências Estaduais (ICMS/IPVA),3324160.0
2026,8,Transferências Federais (FPM/SUS/FNDE),4240000.0
2026,8,Outras Receitas Correntes,642360.0
2026,9,Impostos Municipais (IPTU/ISS/ITBI),1439480.0
2026,9,Transferências Estaduais (ICMS/IPVA),3324160.0
2026,9,Transferências Federais (FPM/SUS/FNDE),4240000.0
2026,9,Outras Receitas Correntes,642360.0
2026,10,Impostos Municipais (IPTU/ISS/ITBI),1439480.0
2026,10,Transferências Estaduais (ICMS/IPVA),3324160.0
2026,10,Transferências Federais (FPM/SUS/FNDE),4240000.0
2026,10,Outras Receitas Correntes,642360.0
2026,11,Impostos Municipais (IPTU/ISS/ITBI),1439480.0
2026,11,Transferências Estaduais (ICMS/IPVA),3324160.0
2026,11,Transferências Federais (FPM/SUS/FNDE),5088000.0
2026,11,Outras Receitas Correntes,642360.0
2026,12,Impostos Municipais (IPTU/ISS/ITBI),1439480.0
2026,12,Transferências Estaduais (ICMS/IPVA),3324160.0
2026,12,Transferências Federais (FPM/SUS/FNDE),5088000.0
2026,12,Outras Receitas Correntes,642360.0
