Orçamento 2026,,,,,,
Departamentos, Valor , Folha e Auxilio Alim. ,% Gasto com folha e Auxilio Alim.,-,,
Transporte 26," R$  6.720.007,00 "," R$  2.660.000,00 ","39,6%",,,
Adm. Geral 04 (segurança púb. 06)," R$  24.320.216,29 "," R$  7.788.000,00 ","32,0%",,,
Assistência Social 08," R$  4.510.021,00 "," R$  2.050.000,00 ","45,5%",,,
Indústria e Comércio 22," R$  180.005,00 "," R$  180.000,00 ","100,0%",,,
Saúde 10," R$  28.208.146,00 "," R$  14.951.006,00 ","53,0%",,,
Serviços Urbanos 15," R$  5.440.001,00 "," R$  3.290.000,00 ","60,5%",,,
Saneamento Básico 17," R$  3.750.003,00 "," R$  300.000,00 ","8,0%",,,
Meio Ambiente 18," R$  3.262.002,00 "," R$  2.710.000,00 ","83,1%",,,
Esporte e Lazer 27," R$  2.909.003,00 "," R$  1.916.000,00 ","65,9%",,,
Educação 12," R$  61.105.127,02 "," R$  48.492.002,00 ","79,4%",,,
Cultura 13," R$  963.006,00 "," R$  520.000,00 ","54,0%",,,
Orçamento Total," R$  141.367.545,31 "," R$  84.857.008,00 ","60,0%",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Títulos das Receitas, Receita Bruta Projetada 2026 , % Inadimplencia no exercício ,Valor Inadimplente no Exercício, Receita Liquida Projetada 2026 ,,
Receitas da União,,,,,,
FPM," R$  35.870.963,80 ","0,0%", R$  -   ," R$  35.870.963,80 ",,
Royalties ," R$  679.195,61 ","0,0%", R$  -   ," R$  679.195,61 ",,
Fundeb," R$  24.395.948,19 ","0,0%", R$  -   ," R$  24.395.948,19 ",,
QESE ," R$  1.628.526,94 ","0,0%", R$  -   ," R$  1.628.526,94 ",,
PNAE," R$  547.036,11 ","0,0%", R$  -   ," R$  547.036,11 ",,
PNATE," R$  28.900,81 ","0,0%", R$  -   ," R$  28.900,81 ",,
Receitas do Estado,,,,,,
ICMS," R$  39.595.624,31 ","0,0%", R$  -   ," R$  39.595.624,31 ",,
IPVA," R$  6.348.225,68 ","0,0%", R$  -   ," R$  6.348.225,68 ",,
Receitas da Saúde (Federal e Estadual),,,,,,
Vigilancia em Sáude," R$  169.795,73 ","0,0%", R$  -   ," R$  169.795,73 ",," R$  169.795,73 "
Atenção Primária," R$  1.842.937,46 ","0,0%", R$  -   ," R$  1.842.937,46 ",," R$  1.842.937,46 "
Atenção Média e Alta Complexidade Ambulatorial e Hospitalar," R$  752.573,30 ","0,0%", R$  -   ," R$  752.573,30 ",," R$  752.573,30 "
Gestão SUS," R$  7.459,50 ","0,0%", R$  -   ," R$  7.459,50 ",," R$  7.459,50 "
Receitas Municipais,,,,,,
Água e Esgoto," R$  2.862.012,04 ","41,0%"," R$  1.173.424,94 "," R$  1.688.587,10 ",,
ISS," R$  7.789.541,84 ","16,9%"," R$  1.314.874,66 "," R$  6.474.667,18 ",,
IPTU," R$  4.796.492,34 ","26,3%"," R$  1.261.477,49 "," R$  3.535.014,85 ",,
ITR," R$  2.747.308,63 ","0,0%", R$  -   ," R$  2.747.308,63 ",,
ITBI," R$  446.083,54 ","0,0%", R$  -   ," R$  446.083,54 ",,
IRRF (retenção da folha)," R$  4.314.075,12 ","0,0%", R$  -   ," R$  4.314.075,12 ",,
IRPJ," R$  390.000,00 ","0,0%", R$  -   ," R$  390.000,00 ",,
Outras Receitas," R$  4.698.844,36 ","0,0%", R$  -   ," R$  4.698.844,36 ",,
Receitas de Emendas (Federal e Estadual),,,,,," R$  300.000,00 "
Praça Boa Vista (Estadual)," R$  300.000,00 ","0,0%", R$  -   ," R$  300.000,00 ",," R$  400.000,00 "
Recapeamento (Estadual)," R$  400.000,00 ","0,0%", R$  -   ," R$  400.000,00 ",," R$  360.000,00 "
Lazer Horto Campo + Quadra - Emendas separadas (Federal)," R$  360.000,00 ","0,0%", R$  -   ," R$  360.000,00 ",," R$  396.000,00 "
Ampliação Escola (Federal)," R$  396.000,00 ","0,0%", R$  -   ," R$  396.000,00 ",," R$  4.228.765,99 "
,,,, R$  -   ,,
TOTAL," R$  141.367.545,31 ",," R$  3.749.777,08 "," R$  137.617.768,23 ",,
,,,,,,
,,,,,,
,,,,,,
Receitas da União," R$  63.150.571,46 ",,,,,
Receitas do Estado," R$  45.943.849,99 ",,,,,
Receitas Municipais," R$  28.044.357,87 ",,,,,
Receitas da Saúde (Federal e Estadual)," R$  2.772.765,99 ",,,,,
Receitas de Emendas (Federal e Estadual)," R$  1.456.000,00 ",,,,,
," R$  141.367.545,31 ",,,,,
